facility_id,facility_name,full_address,postal_code,latitude,longitude,PLN_AREA_N
29,MWS Senior Care Centre @ Eunos,1 Chin Cheng Avenue Eunos Polyclinic #01-02 Singapore 429400,429400,1.31733758533419,103.905777145209,BEDOK
30,Man Fatt Lam Elderly Joy Day Centre,20 Jalan Langgar Bedok Singapore 468584,468584,1.32642593993115,103.950110341186,BEDOK
31,Man Fut Tong Ho Yuen Hoe Senior Care Centre,14F Richards Avenue Man Fut Tong Old People's Home Singapore 546416,546416,1.36112755877506,103.882611222529,HOUGANG
32,Man Fut Tong Nursing Home,20 Woodlands Street 82 Singapore 738507,738507,1.44349709682126,103.790429082114,WOODLANDS
33,Montessori Seniors Ltd,1 Kay Siang Road #04-10 Singapore 248922,248922,1.29602160157967,103.815564059488,QUEENSTOWN
34,Muhammadiyah Health and Day Care Centre,10 Eunos Crescent Singapore 400010,400010,1.32228655863065,103.902720513959,GEYLANG
35,NTUC Health Active Ageing Centre (Care) @ Bukit Batok West,439 Bukit Batok West Avenue 8 #01-01 Singapore 650439,650439,1.35735758102665,103.739983046884,BUKIT BATOK
36,NTUC Health Active Ageing Centre (Care) @ Bukit Merah Silat,141 Jalan Bukit Merah #01-1172 Singapore 160141,160141,1.27714559744846,103.828738908605,BUKIT MERAH
37,NTUC Health Active Ageing Centre (Care) @ Jurong Central Plaza,493 Jurong West Street 41 #02-01 Singapore 640493,640493,1.34896996021593,103.724938358616,JURONG WEST
38,NTUC Health Active Ageing Centre (Care) @ Kampung Admiralty,676 Woodlands Drive 71 #06-01 Singapore 730676,730676,1.43974951798078,103.800720711621,WOODLANDS
39,NTUC Health Active Ageing Centre (Care) @ Tampines,1 Tampines Street 22 Level 1 Singapore 529367,529367,1.34965003102913,103.95141650923,TAMPINES
40,NTUC Health Active Ageing Centre (Care) @ Wisma Geylang Serai,1 Engku Aman Turn Wisma Geylang Serai #03-04 Singapore 408528,408528,1.31649443408571,103.896941669743,GEYLANG
41,NTUC Health Day Centre for Seniors @ Boon Lay,216 Boon Lay View #01-05 Singapore 640216,640216,1.34967446991628,103.711680539382,JURONG WEST
42,NTUC Health Day Centre for Seniors @ Chai Chee,35 Chai Chee Street Level 2 Singapore 468984,468984,1.32805675950308,103.92165835022,BEDOK
43,NTUC Health Day Centre for Seniors @ Ci Yuan,51 Hougang Avenue 9 Ci Yuan Community Club #03-01 Singapore 538776,538776,1.37532253773567,103.88293193004,HOUGANG
44,NTUC Health Day Centre for Seniors @ Dakota Crescent,62 Dakota Crescent #01-315 Singapore 390062,390062,1.3076509314131,103.889069356653,GEYLANG
45,NTUC Health Day Centre for Seniors @ Fengshan,91 Bedok North Street 4 #01-1527 Singapore 460091,460091,1.33254881363421,103.940369649715,BEDOK
46,NTUC Health Day Centre for Seniors @ Geylang East,25 Geylang East Central Level 3 Singapore 389708,389708,1.31952569099753,103.887743408202,GEYLANG
47,NTUC Health Day Centre for Seniors @ Heartbeat@Bedok,11 Bedok North Street 1 Heartbeat @ Bedok Singapore 469662,469662,1.32662388643563,103.931806159881,BEDOK
48,NTUC Health Day Centre for Seniors @ Henderson,95B/95C Henderson Road City Vue @Henderson #01-22/40 Singapore 152095,152095,1.28697703899167,103.821558832304,BUKIT MERAH
49,NTUC Health Day Centre for Seniors @ Jurong Central,402 Jurong West Street 42 #01-525 Singapore 640402,640402,1.35339365971468,103.722445654654,JURONG WEST
50,NTUC Health Day Centre for Seniors @ Jurong Spring,6B Jurong West Street 52 Level 1 Singapore 649298,649298,1.34805416411481,103.718222317106,JURONG WEST
51,NTUC Health Day Centre for Seniors @ Jurong West,50 Jurong West Street 93 NTUC Health Nursing Home Level 2 Singapore 648967,648967,1.3409838595441,103.691488781197,JURONG WEST
52,NTUC Health Day Centre for Seniors @ Marsiling,172 Woodlands Street 13 #01-303-315 Singapore 730172,730172,1.43398859274828,103.777490482198,WOODLANDS
53,NTUC Health Day Centre for Seniors @ May Wong Social Centre,117 Bukit Merah View #01-201 Singapore 151117,151117,1.28430105508162,103.821907213378,BUKIT MERAH
